name,building_name,floor,room,category,description
임상연구실(순환기내과),병원별관,B2F,,연구,
임상연구실(신경외과),병원별관,B2F,,연구,
임상연구실(정신과),병원별관,B2F,,연구,
임상의과학연구사업단,병원별관,B1F,,연구,유전체 연구역량강화
자원봉사센터,병원별관,2F,,편의,
적정진료관리팀,병원별관,2F,,행정,보험심사팀
전공의숙소,병원별관,4F,,시설,
전기Unit,병원별관,B2F,,시설,
정맥Unit,병원별관,B1F,,시설,
정보운영팀,병원별관,B2F,,행정,
정보전략팀,병원별관,2F,,행정,
정보지원팀,병원별관,2F,,행정,
정신과정서연구실,병원별관,B1F,,연구,
정신의학과병동,병원별관,5F,,병동,
중앙구매운영팀,병원별관,2F,,행정,
중앙의료원행정사무실,병원별관,3F,,행정,인사/재무/기획/교육
직업환경의학과,병원별관,2F,,의료,
직업환경의학센터,병원별관,B1F,,의료,
초음파실,병원별관,2F,,검사,
콜센터,병원별관,1F,,행정,평화아름
통합검사실,병원별관,1F,,검사,CT/MRI/일반촬영
평생교육원,병원별관,2F,,교육,
해외연수생실,병원별관,B2F,,교육,
호스피스병동,병원별관,6F,,병동,
회의실1005,병원별관,1F,,공용,
APD,서울성모병원,1F,,,진료
ATM(우리은행),서울성모병원,1F,,금융,현금 인출
ATM(우리은행),서울성모병원,3F,,금융,
BMT병동,서울성모병원,19F,,병동,19-1
BMT병동2,서울성모병원,19F,,병동,19-2
BMT성인병동,서울성모병원,20F,,병동,20-1
BMT소아병동,서울성모병원,20F,,병동,20-2
BMT이식병동,서울성모병원,19F,,병동,
BMT이식병동,서울성모병원,20F,,병동,
CD등록기,서울성모병원,1F,,편의,영상 CD 등록
CD등록기,서울성모병원,3F,,편의,
CD발급창구,서울성모병원,2F,,원무,10장 미만
CT,서울성모병원,2F,,검사,
HICU,서울성모병원,20F,,중환자실,혈액계 ICU
MICU A,서울성모병원,7F,,중환자실,
MICU B,서울성모병원,7F,,중환자실,
MRI,서울성모병원,2F,,검사,
MTS검사,서울성모병원,3F,,검사,
NICU A,서울성모병원,9F,,중환자실,
NICU B,서울성모병원,9F,,중환자실,
PACS실,서울성모병원,2F,,시설,
PET-CT,서울성모병원,B1F,,,검사
PICU,서울성모병원,11F,,중환자실,소아중환자실
TPN조제실,서울성모병원,6F,,의료,
VC센터,서울성모병원,4F,,진료,
VIP병실,서울성모병원,21F,,병동,21-1
VVIP병실,서울성모병원,21F,,병동,21-2
X-RAY,서울성모병원,2F,,검사,
가정의학과,서울성모병원,1F,,,진료
가정의학과의국,서울성모병원,16F,,사무,
가정의학과의국,서울성모병원,16F,,사무,
간담도암병동,서울성모병원,15F,,병동,15-2
간담도영상검사,서울성모병원,B1F,,,검사
간담췌외과,서울성모병원,1F,,,진료
간담췌외과병동,서울성모병원,11F,,병동,
간담췌외과병동,서울성모병원,15F,,병동,
간섬유화검사,서울성모병원,3F,,검사,
간조직검사,서울성모병원,3F,,검사,
간초음파,서울성모병원,3F,,검사,
간클리닉,서울성모병원,3F,,진료,
간호통합병동,서울성모병원,13F,,병동,13-1
감마영상검사,서울성모병원,B1F,,,검사
감염내과,서울성모병원,2F,,진료,예방접종센터 포함
감염병동,서울성모병원,18F,,병동,혈액암
갑상선검사,서울성모병원,B1F,,,검사
갑상선방사선치료실,서울성모병원,19F,,치료,
갑상선초음파,서울성모병원,1F,,,검사
개원준비단사무국,서울성모병원,4F,,사무,
객담검사,서울성모병원,1F,,,검사
갱년기기능검사,서울성모병원,4F,,검사,
검사예약,서울성모병원,1F,,원무,검사 예약 접수
검사예약창구,서울성모병원,3F,,원무,성형외과 옆
결핵검사실,서울성모병원,3F,,검사,
결핵관리실,서울성모병원,12F,,시설,
경동맥초음파,서울성모병원,1F,,,검사
경동맥초음파,서울성모병원,4F,,검사,
경식도초음파,서울성모병원,4F,,검사,
경증응급실,서울성모병원,1F,,,진료
고객상담실,서울성모병원,1F,,원무,법무팀 포함
고위험산모집중치료실,서울성모병원,9F,,중환자실,MFICU
골밀도검사실,서울성모병원,2F,,검사,
골수검사실,서울성모병원,6F,,검사,
골스캔,서울성모병원,B1F,,,검사
공차,서울성모병원,B1F,,,상업
과내수술실,서울성모병원,3F,,치료,
관류스캔,서울성모병원,B1F,,,검사
관절초음파,서울성모병원,2F,,검사,
교수라운지,서울성모병원,8F,,편의,
교정과,서울성모병원,4F,,진료,
구강악안면외과,서울성모병원,4F,,진료,
근골격판독실,서울성모병원,2F,,시설,
근전도검사,서울성모병원,2F,,검사,
근전도검사,서울성모병원,3F,,검사,신경과
기계실,서울성모병원,B6F,,,시설
기계실,서울성모병원,6F,,시설,
기관지경실,서울성모병원,3F,,검사,
기능검사실,서울성모병원,3F,,검사,
기도실,서울성모병원,21F,,시설,
기립경검사,서울성모병원,2F,,검사,
기저귀교환대,서울성모병원,1F,,편의,외래약국 앞 화장실
난임센터검사실,서울성모병원,3F,,검사,
남산왕돈까스,서울성모병원,B1F,,,상업
내과의국,서울성모병원,18F,,사무,
내과의국,서울성모병원,19F,,사무,
내과중환자실,서울성모병원,5F,,의료,MICU
내분비내과,서울성모병원,1F,,,진료
내분비내과병동,서울성모병원,14F,,병동,14-1
내시경실,서울성모병원,3F,,검사,
뇌신경센터,서울성모병원,3F,,진료,
뇌유발전위검사,서울성모병원,3F,,검사,
뇌졸중병동,서울성모병원,10F,,병동,Stroke
뇌졸중집중치료실,서울성모병원,10F,,중환자실,
뇌파검사,서울성모병원,3F,,검사,
뇌혈류검사,서울성모병원,B1F,,,검사
뇌혈류초음파,서울성모병원,3F,,검사,
다학제통합진료실,서울성모병원,3F,,진료,
당뇨교육,서울성모병원,1F,,,지원
당뇨합병증검사,서울성모병원,1F,,,검사
대강당,서울성모병원,B1F,,,공용
대장암병동,서울성모병원,16F,,병동,16-2
대장암병동,서울성모병원,16F,,병동,16-2
대장항문외과,서울성모병원,1F,,,진료
대장항문외과병동,서울성모병원,15F,,병동,
대장항문외과병동,서울성모병원,16F,,병동,
대장항문외과병동,서울성모병원,16F,,병동,
대회의실,서울성모병원,21F,,공용,
도서휴게실,서울성모병원,19F,,편의,박금애 도서관
동맥경화검사,서울성모병원,2F,,검사,
라운지,서울성모병원,2F,,편의,
라운지,서울성모병원,3F,,편의,
레이노드영상검사,서울성모병원,2F,,검사,
레이저클리닉,서울성모병원,3F,,치료,
로봇수술실,서울성모병원,5F,,의료,
로봇수술트레이닝센터,서울성모병원,B1F,,,의료
롤링핀,서울성모병원,B1F,,,상업
류마티스내과병동,서울성모병원,14F,,병동,14-1
류마티스센터,서울성모병원,2F,,진료,
리김밥,서울성모병원,B1F,,,상업
린넨실,서울성모병원,B2F,,,시설
마취과교수실,서울성모병원,5F,,사무,
마취과의국,서울성모병원,5F,,사무,수술실 내부
만성신부전교육,서울성모병원,1F,,,지원
면역검사실,서울성모병원,4F,,검사,
면회안내,서울성모병원,5F,,안내,위독/임종기 외 면회 제한
모발검사,서울성모병원,1F,,,검사
물리치료실,서울성모병원,2F,,치료,
물품보관함,서울성모병원,B1F,,,편의
미생물부,서울성모병원,4F,,검사,
미화사무실,서울성모병원,B3F,,5000,사무
박동기클리닉,서울성모병원,2F,,진료,
반송기계실,서울성모병원,B2F,,,시설
발성치료실,서울성모병원,3F,,치료,
방광경실,서울성모병원,4F,,검사,
방사선종양학과,서울성모병원,B1F,,,진료
방사선종양학과의국,서울성모병원,B1F,,,사무
법무팀,서울성모병원,1F,,원무,고객상담 포함
병동약국,서울성모병원,B2F,,,의료
병동약국안내,서울성모병원,1F,,안내,이후 B2 병동약국 이용
병리과,서울성모병원,4F,,진료,
보존과,서울성모병원,4F,,진료,
보철과,서울성모병원,4F,,진료,
보청기실,서울성모병원,3F,,시설,
보호자대기실,서울성모병원,5F,,편의,현재 운영X
복막투석실,서울성모병원,1F,,,진료
복부판독실,서울성모병원,2F,,시설,
복수천자검사,서울성모병원,3F,,검사,
복약상담실,서울성모병원,6F,,의료,
본죽,서울성모병원,B1F,,,상업
부인암병동,서울성모병원,16F,,병동,16-1
부인암병동,서울성모병원,16F,,병동,16-1
북문,서울성모병원,1F,,시설,일요일/공휴일 폐쇄
분만실,서울성모병원,9F,,의료,
분자병리클리닉,서울성모병원,4F,,검사,
비강검사실,서울성모병원,3F,,검사,
비뇨기과병동,서울성모병원,8F,,병동,08-02
비뇨기과의국,서울성모병원,16F,,사무,
비뇨기과의국,서울성모병원,16F,,사무,
비뇨의학과,서울성모병원,4F,,진료,
비만외과병동,서울성모병원,15F,,병동,
뼈관절스캔,서울성모병원,B1F,,,검사
뼈스캔,서울성모병원,B1F,,,검사
사회사업팀,서울성모병원,6F,,사무,
산부인과,서울성모병원,3F,,진료,자궁근종센터/부인암센터
산부인과병동,서울성모병원,8F,,병동,8-0
산부인과병동(산과),서울성모병원,9F,,병동,9-0
산부인과의국,서울성모병원,9F,,사무,2813
산부인과학교실,서울성모병원,9F,,사무,2814
산업의학과의국,서울성모병원,15F,,사무,직업환경의학과
샐러드박스,서울성모병원,B1F,,,상업
생화학부,서울성모병원,4F,,검사,
선천성질환센터,서울성모병원,3F,,진료,피부과 옆
설비팀,서울성모병원,B6F,,,사무
성당,서울성모병원,1F,,시설,미사 운영
성물방,서울성모병원,B1F,,,상업
성분헌혈실,서울성모병원,4F,,검사,사혈실
성형외과,서울성모병원,3F,,진료,
성형외과병동,서울성모병원,12F,,병동,12-01
성형외과의국,서울성모병원,12F,,사무,
세미나실,서울성모병원,B1F,,,공용
세븐일레븐,서울성모병원,B1F,,,편의
세탁실,서울성모병원,B2F,,,시설
세포영양검사,서울성모병원,1F,,,검사
세포치료센터,서울성모병원,1F,,,진료
소변검사,서울성모병원,1F,,,검사
소아결핵검사,서울성모병원,1F,,,검사
소아심장초음파실,서울성모병원,4F,,검사,
소아안센터,서울성모병원,1F,,,진료
소아외과,서울성모병원,1F,,,진료
소아외과병동,서울성모병원,15F,,병동,15-1
소아응급실,서울성모병원,1F,,,진료
소아청소년과,서울성모병원,1F,,,진료
소아청소년과병동,서울성모병원,11F,,병동,11-01
소아청소년과의국,서울성모병원,11F,,사무,
소아체성분검사,서울성모병원,1F,,,검사
소아호르몬검사,서울성모병원,1F,,,검사
소화기내과병동,서울성모병원,13F,,병동,13-2
소화기센터,서울성모병원,3F,,진료,
소화기암병동,서울성모병원,15F,,병동,
수납(안센터옆),서울성모병원,1F,,원무,안센터 옆 수납
수납(외래약국앞),서울성모병원,1F,,원무,외래약국 앞 수납
수면다윈검사실,서울성모병원,10F,,검사,
수술실,서울성모병원,5F,,의료,
수술전준비실,서울성모병원,5F,,의료,
수술전협진실,서울성모병원,2F,,진료,
수유실,서울성모병원,1F,,,편의
수유실,서울성모병원,3F,,편의,
수혈관리실,서울성모병원,4F,,시설,
수혈실,서울성모병원,1F,,,진료
순환기내과,서울성모병원,2F,,진료,
순환기내과병동,서울성모병원,14F,,병동,14-2
신경계중환자실,서울성모병원,10F,,중환자실,NCU
신경과,서울성모병원,2F,,진료,
신경과병동,서울성모병원,8F,,병동,08-01
신경과의국,서울성모병원,10F,,사무,
신경외과,서울성모병원,2F,,진료,
신경외과병동,서울성모병원,10F,,병동,10-01
신경외과병동2,서울성모병원,10F,,병동,10-02
신경외과의국,서울성모병원,10F,,사무,
신경판독실,서울성모병원,2F,,시설,
신생아실,서울성모병원,9F,,병동,
신생아중환자실,서울성모병원,9F,,중환자실,NICU A/B
신장내과,서울성모병원,1F,,,진료
신장내과병동,서울성모병원,11F,,병동,
신장스캔,서울성모병원,B1F,,,검사
신장초음파,서울성모병원,1F,,,검사
신협,서울성모병원,B1F,,,금융
심뇌혈관병원,서울성모병원,2F,,진료,
심리검사,서울성모병원,3F,,검사,
심리치료실,서울성모병원,2F,,치료,
심장기능검사실,서울성모병원,2F,,검사,홀터검사
심장운동검사,서울성모병원,B1F,,,검사
심장중환자실,서울성모병원,5F,,의료,CCU
심장초음파실,서울성모병원,4F,,검사,
심장혈관흉부외과,서울성모병원,2F,,진료,
심전도검사,서울성모병원,2F,,검사,
심전도검사,서울성모병원,3F,,검사,
심혈관촬영실,서울성모병원,5F,,검사,심혈관조영술
아띠모,서울성모병원,B1F,,,상업
안경점,서울성모병원,B1F,,,상업
안과병동,서울성모병원,12F,,병동,12-01
안과의국,서울성모병원,13F,,사무,
안센터,서울성모병원,1F,,,진료
안저검사,서울성모병원,1F,,,검사
안전상황실,서울성모병원,B1F,,,시설
알레르기검사실,서울성모병원,3F,,검사,
암센터,서울성모병원,3F,,진료,
암센터조제UNIT,서울성모병원,6F,,의료,
암센터조제실,서울성모병원,6F,,의료,
야외정원,서울성모병원,7F,,편의,
약제부,서울성모병원,B2F,,,의료
어린이학교,서울성모병원,20F,,시설,HICU 연계
언어검사,서울성모병원,3F,,검사,
언어치료실,서울성모병원,2F,,치료,
엑티칼검사,서울성모병원,1F,,,검사
연하검사,서울성모병원,2F,,검사,삼킴검사
영상의학과,서울성모병원,2F,,진료,CT/MRI/X-RAY
영상의학과의국,서울성모병원,2F,,사무,
영상의학과회의실,서울성모병원,2F,,공용,
영상자료관리실,서울성모병원,2F,,시설,
영상정보실,서울성모병원,2F,,시설,
영양상담실,서울성모병원,B1F,,,지원
영양팀,서울성모병원,B1F,,,사무
예방접종센터,서울성모병원,2F,,진료,
옥진주상담,서울성모병원,4F,,상담,개원 관련 상담
올가홀푸드,서울성모병원,B1F,,,상업
외과,서울성모병원,1F,,,진료
외과중환자실,서울성모병원,5F,,의료,SICU
외래,서울성모병원,B1F,,,진료
외래,서울성모병원,1F,,,진료
외래,서울성모병원,2F,,진료,2층 외래
외래,서울성모병원,3F,,진료,3층 외래
외래,서울성모병원,4F,,진료,4층 외래
외래약국,서울성모병원,1F,,편의,외래 약국
외래원무팀,서울성모병원,1F,,원무,내원객 안내 제외
외래주사실,서울성모병원,1F,,,진료
요속검사,서울성모병원,4F,,검사,
요역동검사,서울성모병원,4F,,검사,
우리은행,서울성모병원,B1F,,,금융
운동부하검사,서울성모병원,2F,,검사,
운동부하심장초음파,서울성모병원,4F,,검사,
운동처방,서울성모병원,1F,,,지원
운동치료실,서울성모병원,2F,,치료,
운행지원UNIT,서울성모병원,B2F,,,시설
위장관기능검사,서울성모병원,3F,,검사,
위장관외과,서울성모병원,1F,,,진료
위장관외과병동,서울성모병원,15F,,병동,15-1
유방갑상선외과병동,서울성모병원,12F,,병동,12-01
유방암센터,서울성모병원,3F,,진료,
유방초음파,서울성모병원,3F,,검사,
유방촬영,서울성모병원,3F,,검사,당일 가능
유방촬영실,서울성모병원,2F,,검사,
유방판독실,서울성모병원,2F,,시설,
유전진단검사센터,서울성모병원,4F,,검사,
음성검사실,서울성모병원,3F,,검사,
응급신속대응팀,서울성모병원,6F,,의료,SALT팀
응급실,서울성모병원,1F,,,진료
응급의학과의국,서울성모병원,B1F,,,사무
의공학팀,서울성모병원,B1F,,,사무
의료기상사,서울성모병원,B1F,,,상업
의무기록,서울성모병원,1F,,원무,제증명 발급
이발소,서울성모병원,B1F,,,상업
이비인후과,서울성모병원,3F,,진료,
이비인후과병동,서울성모병원,8F,,병동,08-02
이비인후과의국,서울성모병원,7F,,사무,
이식병동,서울성모병원,19F,,병동,무균실
인공신장실,서울성모병원,1F,,,진료
인공와우센터,서울성모병원,3F,,진료,
인지기능검사,서울성모병원,3F,,검사,
임상시험모니터링실,서울성모병원,6F,,연구,
임상심리검사,서울성모병원,3F,,검사,
입원원무팀,서울성모병원,1F,,원무,자보/산재/감면 처리
입원의학과병동,서울성모병원,13F,,병동,
입퇴원수속,서울성모병원,1F,,원무,연중무휴 운영
자기장치료실,서울성모병원,4F,,치료,
자기치료,서울성모병원,3F,,치료,
자율신경검사,서울성모병원,1F,,,검사
자율신경검사,서울성모병원,3F,,검사,
자판기,서울성모병원,2F,,편의,
자판기,서울성모병원,3F,,편의,
잔뇨초음파,서울성모병원,4F,,검사,
장기이식센터,서울성모병원,2F,,진료,
장기이식센터병동,서울성모병원,11F,,병동,11-02
재활의학과,서울성모병원,2F,,진료,
재활의학과병동,서울성모병원,8F,,병동,08-01
재활의학과병동,서울성모병원,12F,,병동,12-01
재활의학과옆수납,서울성모병원,2F,,원무,
재활의학과의국,서울성모병원,12F,,사무,
적외선체열검사,서울성모병원,2F,,검사,
전기팀,서울성모병원,B6F,,,사무
전담간호사실,서울성모병원,B1F,,,의료
전담간호사실,서울성모병원,6F,,사무,
정수기관리요청,서울성모병원,1F,,안내,외래원무팀 문의
정신건강의학과,서울성모병원,3F,,진료,
정신과,서울성모병원,3F,,진료,
정형외과,서울성모병원,2F,,진료,과내 초음파
정형외과병동,서울성모병원,7F,,병동,07-01
정형외과의국,서울성모병원,7F,,사무,
정화조,서울성모병원,B5F,,,시설
제2혈액병원주사실,서울성모병원,6F,,의료,
조갑주름모세혈관검사,서울성모병원,2F,,검사,
조혈모세포이식센터,서울성모병원,3F,,진료,
종양내과,서울성모병원,3F,,진료,
종양내과병동,서울성모병원,15F,,병동,
종양내과병동,서울성모병원,16F,,병동,
종양내과병동,서울성모병원,16F,,병동,
주차관제실,서울성모병원,B3F,,6000,시설
주차등록,서울성모병원,21F,,안내,21층 근무자
주차안내데스크,서울성모병원,B1F,,,시설
중앙공급실,서울성모병원,B2F,,,시설
중재신장클리닉,서울성모병원,1F,,,진료
중증등록,서울성모병원,3F,,원무,
중증응급실,서울성모병원,1F,,,진료
중환자실,서울성모병원,5F,,의료,
중환자외상외과,서울성모병원,1F,,,진료
중환자외상외과병동,서울성모병원,15F,,병동,15-1
지하주차장,서울성모병원,B5F,,,시설
지하주차장,서울성모병원,B4F,,,시설
지하주차장,서울성모병원,B3F,,,시설
지하주차장,서울성모병원,B2F,,,시설
직원휴게실,서울성모병원,5F,,편의,
직장항문초음파,서울성모병원,1F,,,검사
진단검사의학과,서울성모병원,4F,,진료,
진료협력사무실,서울성모병원,B1F,,,사무
진료협력센터,서울성모병원,1F,,원무,회송/전원/상담
채혈실,서울성모병원,1F,,,검사
척추센터,서울성모병원,2F,,진료,
청력검사실,서울성모병원,3F,,검사,
체성분검사,서울성모병원,1F,,,검사
체외충격파쇄석실,서울성모병원,4F,,치료,
체지방검사,서울성모병원,1F,,,검사
초음파실,서울성모병원,2F,,검사,SONO
초진접수,서울성모병원,1F,,원무,당일예약 가능
출입제한구역,서울성모병원,21F,,안내,일반인 출입 제한
치과,서울성모병원,4F,,진료,
치과병동,서울성모병원,8F,,병동,08-02
치과의국,서울성모병원,14F,,사무,
치주과,서울성모병원,4F,,진료,
퀴즈노스,서울성모병원,B1F,,,상업
키오스크,서울성모병원,1F,,편의,수납/증명서/식단
키오스크,서울성모병원,2F,,편의,CD등록/병원안내
타액선검사,서울성모병원,B1F,,,검사
태동검사실,서울성모병원,3F,,검사,
태아정밀초음파,서울성모병원,3F,,검사,
테라노틱스클리닉,서울성모병원,B1F,,,진료
통신UNIT,서울성모병원,6F,,시설,
통원수술실,서울성모병원,5F,,의료,DSC
통원주사실,서울성모병원,6F,,의료,케모포트
통증센터,서울성모병원,3F,,진료,마취통증의학과
투시촬영실,서울성모병원,2F,,검사,
특수뇌파검사,서울성모병원,3F,,검사,
특실,서울성모병원,21F,,병동,
팜플렛요청,서울성모병원,1F,,안내,초진창구 문의
평생건강증진센터,서울성모병원,4F,,진료,
평형검사실,서울성모병원,3F,,검사,
폐기능검사,서울성모병원,3F,,검사,
폐기물처리장,서울성모병원,B2F,,,시설
피부과,서울성모병원,3F,,진료,
피부과의국,서울성모병원,15F,,사무,
피부과치료실,서울성모병원,3F,,치료,
피부초음파,서울성모병원,3F,,검사,
하늘정원,서울성모병원,6F,,편의,옥외 공간
하역장,서울성모병원,B1F,,,시설
항암병동,서울성모병원,19F,,병동,무균실
항암주사조제실,서울성모병원,6F,,의료,
핵의학과,서울성모병원,B1F,,,진료
핵의학과의국,서울성모병원,B1F,,,사무
혈관외과병동,서울성모병원,11F,,병동,
혈관외과병동,서울성모병원,15F,,병동,
혈관이식외과,서울성모병원,1F,,,진료
혈관이식외과,서울성모병원,2F,,진료,
혈관인터베이션실,서울성모병원,2F,,검사,
혈관조영실,서울성모병원,2F,,검사,
혈류검사,서울성모병원,1F,,,검사
혈류초음파,서울성모병원,1F,,,검사
혈액검사,서울성모병원,1F,,,검사
혈액계중환자실,서울성모병원,20F,,중환자실,HICU
혈액내과처치실,서울성모병원,18F,,치료,
혈액병동,서울성모병원,18F,,병동,성인 / 18-1
혈액병원,서울성모병원,3F,,진료,
혈액병원주사실,서울성모병원,3F,,진료,
혈액은행,서울성모병원,4F,,시설,
혈액투석혈관센터,서울성모병원,1F,,,진료
혈청안약조제,서울성모병원,1F,,,지원
호흡기내과,서울성모병원,3F,,진료,알레르기내과 포함
호흡기내과병동,서울성모병원,12F,,병동,12-02
환자이송사무실,서울성모병원,B3F,,8124,사무
환자이송사무실,서울성모병원,B3F,,8127,사무
회복실,서울성모병원,5F,,의료,
회의실,서울성모병원,6F,,공용,
휴대폰충전기,서울성모병원,2F,,편의,유료
휴대폰충전기,서울성모병원,3F,,편의,유료
흉부심장판독실,서울성모병원,2F,,시설,
흉부외과병동,서울성모병원,14F,,병동,14-1
흉부외과병동(심장),서울성모병원,14F,,병동,14-2
흉부외과의국,서울성모병원,14F,,사무,
PBL실,옴니버스B,3F,,강의실,
PBL실,옴니버스B,2F,,강의실,
간호대학장실,옴니버스B,4F,,사무,
간호대행정팀,옴니버스B,4F,,사무,
게스트하우스,옴니버스B,8F,,시설,
게스트하우스,옴니버스B,8F,,시설,
경영관리팀,옴니버스B,7F,,사무,
교수실,옴니버스B,5F,,사무,
구매관재팀,옴니버스B,7F,,사무,
기술지주,옴니버스B,7F,,기업,
대강의실,옴니버스B,4F,,강의실,
대강의실,옴니버스B,3F,,강의실,
대강의실,옴니버스B,2F,,강의실,
대회의실,옴니버스B,4F,,공용,
동창회장실,옴니버스B,4F,,사무,
디지털팜,옴니버스B,3F,,기업,
복사실,옴니버스B,5F,,지원,
산학협력단장실,옴니버스B,7F,,사무,
산학협력팀,옴니버스B,7F,,사무,
서지넥스,옴니버스B,2F,,기업,
세미나실,옴니버스B,5F,,공용,
스카이가든,옴니버스B,7F,,공용,
연구감사실,옴니버스B,7F,,사무,
연구관리팀,옴니버스B,7F,,사무,
연구기획팀,옴니버스B,7F,,사무,
온코인사이트,옴니버스B,6F,,기업,
온코인사이트,옴니버스B,5F,,기업,
의료원대회의실,옴니버스B,6F,,공용,
의생명산업연구원장실,옴니버스B,7F,,사무,
자료실,옴니버스B,5F,,지원,
조교실,옴니버스B,4F,,사무,
주한교황청대사관,옴니버스B,6F,,시설,
중강의실,옴니버스B,3F,,강의실,
중강의실,옴니버스B,2F,,강의실,
진코어,옴니버스B,3F,,기업,
창업보육센터,옴니버스B,7F,,시설,
파마리서치,옴니버스B,5F,,기업,
한미약품제재연구소,옴니버스B,4F,,연구소,
호스피스연구소,옴니버스B,3F,,연구소,
회의실,옴니버스B,6F,,공용,
휴게실,옴니버스B,2F,,편의,
